client_id,entreprise,vertical,ville,decideur,tel,email,offre,mrr_eur,setup_eur,date_close,date_go_live,statut,rdv_sem,upsell,notes
C-01,,,,,,,990,,,,,VIDE,,,
C-02,,,,,,,990,,,,,VIDE,,,
C-03,,,,,,,990,,,,,VIDE,,,
C-04,,,,,,,990,,,,,VIDE,,,
C-05,,,,,,,990,,,,,VIDE,,,
C-06,,,,,,,990,,,,,VIDE,,,
C-07,,,,,,,990,,,,,VIDE,,,
C-08,,,,,,,990,,,,,VIDE,,,
C-09,,,,,,,990,,,,,VIDE,,,
C-10,,,,,,,990,,,,,VIDE,,,
C-11,,,,,,,990,,,,,VIDE,,,
C-12,,,,,,,990,,,,,VIDE,,,
C-13,,,,,,,990,,,,,VIDE,,,
C-14,,,,,,,990,,,,,VIDE,,,
C-15,,,,,,,990,,,,,VIDE,,,
C-16,,,,,,,990,,,,,VIDE,,,
C-17,,,,,,,990,,,,,VIDE,,,
C-18,,,,,,,990,,,,,VIDE,,,
C-19,,,,,,,990,,,,,VIDE,,,
C-20,,,,,,,990,,,,,VIDE,,,
