rang,zone,categorie,nom,interlocuteur,qualite_dirigeant,qui_demander,telephone,adresse,siren,site,maps,note,nb_avis,statut_appel
1,centre,concession,Idéal Autos,Ronan Botherel (Botherel),Gérant,Gérant,02 97 83 24 43,"Rue-Straed Jean-Marie Tjibaou, 56600 Lanester",751627191,https://idealautos-lorient-occasions.espacevo.fr/,https://maps.google.com/?cid=12734641137001065748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,196,a_appeler
2,centre,concession,Kia | Lorient - Cap Orient Automobiles,Francois-Regis Huet,Président de SAS,Président de SAS,02 97 76 10 10,"42 Rue de Kerlo, 56850 Caudan",518673116,https://www.kia.com/fr/concessions/lorient/?utm_campaign=dealer-website&utm_medium=cta-gmb&utm_source=google,https://maps.google.com/?cid=14614872747227539464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,329,a_appeler
3,centre,concession,Peugeot Gemy Lorient,Pierre-Elie Gerard,Président de SAS,Président de SAS,02 97 76 97 97,"428 Rue Pierre Landais, 56850 Caudan",873500037,https://peugeot-lorient.gemy.fr/,https://maps.google.com/?cid=6811147758541085829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,1102,a_appeler
4,centre,concession,RENAULT LORIENT - BODEMERAUTO,Sylvie Renault-Chapier (Renault),,Gérant / propriétaire,02 97 87 67 67,"1079 Rue Dominique Arago, 56850 Caudan",379548050,https://renault-lorient.bodemerauto.com/,https://maps.google.com/?cid=531892281334763115&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,1862,a_appeler
5,centre,concession,Shad - Distinxion Lanester,Louise Morvan (Moitie),Directeur Général,Directeur Général,02 97 81 05 72,"150 Rue Youri Gagarine, 56600 Lanester",444538425,https://www.distinxion.fr/distributeur/lanester/shad-distinxion-lanester,https://maps.google.com/?cid=2793737583363678791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,76,a_appeler
6,centre,concession,Transakauto Lorient,Alix Aubertin,Président de SAS,Président de SAS,06 61 09 85 21,"30 Bd Léon Blum, 56100 Lorient",919698852,https://www.transakauto.com/agences/43982,https://maps.google.com/?cid=13985643451647230163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,138,a_appeler
7,centre,commerce,Au Coin du Jeu,Ronan Marec,Gérant,Gérant,06 51 50 85 42,"52 Rue du Maréchal Foch, 56100 Lorient",892391152,https://au-coin-du-jeu.odoo.com/,https://maps.google.com/?cid=10732744950329917106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,103,a_appeler
8,centre,commerce,Bis-Bis,Rene Brugieregarde,Président de SAS,Président de SAS,02 97 64 66 28,"10 Rue du Port, 56100 Lorient",814941993,,https://maps.google.com/?cid=12007974652703627923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,62,a_appeler
9,centre,commerce,Campus Rock Line,Marie-Line Perrot (Bernard),,Gérant / propriétaire,02 97 84 87 33,"9 Rue Fénelon, 56100 Lorient",342259488,,https://maps.google.com/?cid=15654500038052982947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,113,a_appeler
10,centre,commerce,Caroll,Roland Beaumanoir,Président du conseil d’administration,Président du conseil d’administration,02 97 64 05 45,"3 Rue du Port, 56100 Lorient",582001707,https://www.caroll.com/?at_campaign=magasin&at_medium=gmb,https://maps.google.com/?cid=10325323705843785147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,69,a_appeler
